DateTime of Peak Brightness,Latitude,Longitude,Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2009-11-21 20:53:00,-22.0,29.2,38.0,32.1,3.0,-17.0,-27.0,10000000000000,18.0
2015-01-09 10:41:11,2.0,28.8,36.0,,-10.7,-7.6,11.6,139000000000,0.41
2014-05-16 12:42:48,-44.2,-176.2,44.0,,14.4,4.6,6.5,309000000000,0.82
2014-08-23 06:29:41,-61.7,132.6,22.2,16.2,-2.3,5.7,16.5,3820000000000,7.6
2014-12-12 06:48:11,33.5,144.9,26.3,,11.5,-2.8,-2.2,33000000000,0.11
2014-07-29 07:38:07,-49.2,-172.2,,,,,,73000000000,0.23
2013-06-01 22:49:48,-65.6,138.4,28.9,,,,,34000000000,0.12
2015-02-17 13:19:50,-8.0,-11.2,39.0,,-28.2,3.4,4.6,33000000000,0.11
2014-10-17 14:07:36,-4.6,-66.3,39.0,,,,,72000000000,0.23
2013-12-08 03:10:09,32.8,-165.1,23.5,,2.3,2.5,-11.3,64000000000,0.2
2014-09-05 21:37:26,22.7,-150.0,,,,,,35000000000,0.12
2015-02-25 10:53:24,12.4,-122.4,42.0,,,,,58000000000,0.19
2014-11-04 20:13:30,43.1,115.8,22.2,,-7.2,-12.1,-7.7,156000000000,0.45
2013-07-26 11:32:26,21.0,-178.5,37.0,,,,,20000000000,0.073
2010-12-25 23:24:00,38.0,158.0,26.0,18.1,18.0,-2.0,-4.0,20000000000000,33.0
2015-01-07 01:05:59,45.7,26.9,45.5,,-35.4,1.8,-4.4,136000000000,0.4
2013-01-25 07:40:18,60.3,-64.6,,,,,,3400000000000,6.9
2014-08-28 03:07:45,3.2,-45.4,,,,,,34000000000,0.12
2014-01-15 02:46:19,-18.5,141.8,29.6,,,,,140000000000,0.41
2013-12-23 08:30:57,39.5,2.0,34.3,,-1.1,11.4,-9.9,147000000000,0.43
2014-11-26 17:40:16,-68.2,-24.0,37.0,,-7.0,16.1,9.4,105000000000,0.32
2014-03-18 11:02:37,0.0,-111.8,30.5,,,,,540000000000,1.3
2014-03-03 15:00:21,-29.0,-94.9,,,,,,94000000000,0.29
2013-02-15 03:20:33,54.8,61.1,23.3,18.6,12.8,-13.3,-2.4,375000000000000,440.0
2014-03-29 13:45:41,-28.7,121.5,30.7,,10.0,-12.7,2.2,39000000000,0.13
2009-10-08 02:57:00,-4.2,120.6,19.1,19.2,14.0,-16.0,-6.0,20000000000000,33.0
2014-06-28 02:40:07,18.9,141.2,26.3,12.4,12.0,3.5,-10.5,245000000000,0.67
2014-10-21 18:55:37,22.2,-132.9,,,,,,34000000000,0.12
2013-10-12 16:06:45,-19.1,-25.0,22.2,,-8.0,8.4,-5.5,1610000000000,3.5
